Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
4,"L. PLACIDO REAL ESTATE HOLDING, LLC",793709,531120,Revocation Notice,"12 LEILA JEAN DRIVE BRISTOL, RI  02809  USA",active,LP,"L. PLACIDO REAL ESTATE HOLDING, LLC",Foreign Limited Liability Company,000793709,10-09-2012,10-09-2012,"12 LEILA JEAN DRIVE ,BRISTOL, RI 02809 USA",N,Y," LENA O. PLACIDO,12 LEILA JEAN DRIVE ,BRISTOL, RI 02809 USA",None,"MANAGERLENA O. PLACIDO 12 LEILA JEAN DRIVE BRISTOL, RI 02809 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERLENA O. PLACIDO 12 LEILA JEAN DRIVE BRISTOL, RI 02809 USA",None," OWN, DEVELOP, INVEST IN AND MANAGE REAL AND PERSONAL PROPERTY ",531120 Lessors of Nonresidential Buildings (except Miniwarehouses) ,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
5,L.P PAINTING LLC,1761195,238320, ,"22 FRIENDSHIP ST NEWPORT, RI  02840  USA",active,LP,L.P PAINTING LLC,Domestic Limited Liability Company,001761195,08-03-2023,08-03-2023,"22 FRIENDSHIP ST ,NEWPORT, RI 02840 USA",N,Y," LUIS MIGUEL PEREZ BURRION,22 FRIENDSHIP ST. APT. 2 ,NEWPORT, RI 02840 USA",None, , ,None, RESIDENTIAL AND COMMERCIAL PAINTING ,238320 Painting and Wall Covering Contractors,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
6,"L.P. ANDREWS EXCAVATING, INC.",41152,238910,Revocation Notice,"58 RICHMOND TOWNHOUSE RD CAROLINA, RI  02812  USA",active,LP,"L.P. ANDREWS EXCAVATING, INC.",Domestic Profit Corporation,000041152,12-17-1986,12-17-1986,"58 RICHMOND TOWNHOUSE RD ,CAROLINA, RI 02812 USA",N,Y," PAUL F. SINGER,109 GRANITE STREET ,WESTERLY, RI 02891 USA","PRESIDENTLEWELL P ANDREWS 58 TOWNHOUSE ROAD CAROLINA, RI 02812 USAOTHER OFFICERANDREWS REALTY INC. 18 WILBUR HILL RD CAROLINA, RI 02812 UNI",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00001,00020", SITE WORK TITLE: 7-1.1-51,238910 Site Preparation Contractors,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
7,"L.P. TRANSPORTATION, INC.",23089,541614, ,"54 BROOKSIDE AVENUE PO BOX 489CHESTER, NY  10918  USA",active,LP,"L.P. TRANSPORTATION, INC.",Foreign Corporation,000023089,02-05-1980,02-05-1980,"54 BROOKSIDE AVENUE PO BOX 489,CHESTER, NY 10918 USA",N,Y," CHARLES N. REDIHAN, III,146 WESTMINSTER STREET, 5TH FLOOR ,PROVIDENCE, RI 02903 USA","PRESIDENTCHRISTOPHER PALMER 54 BROOKSIDE AVENUE CHESTER, NY 10918 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.0000200105, TRANSPORTATION OF PROPERTY BY MOTOR VEHICLE ,"541614 Process, Physical Distribution, and Logistics Consulting Services ","ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
8,"L.P.F. Masonry, Inc.",88427,238140, ,"44 FORSYTHIA LANE CRANSTON, RI  02921  USA",active,LP,"L.P.F. Masonry, Inc.",Domestic Profit Corporation,000088427,03-05-1996,03-06-1996,"44 FORSYTHIA LANE ,CRANSTON, RI 02921 USA",N,Y," LEO P. FEOLE,44 FORSYTHIA LANE ,CRANSTON, RI 02921 USA","PRESIDENTLEO P FEOLE 44 FORSYTHIA LANE CRANSTON, RI 02921 US",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000"," TO ACT AS A CONTRACTOR, SUBCONTRACTOR, BUILDER OF MASONRY STRUCTURES. TITLE: 7-1.1-51",238140 Masonry Contractors ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
9,LP & T Transportation LLC,1695773,484121,Revoked Entity,"369 NORTHUP ST CRANSTON, RI  02905  USA",active,LP,LP & T Transportation LLC,Domestic Limited Liability Company,001695773,05-06-2019,05-06-2019,"369 NORTHUP ST ,CRANSTON, RI 02905 USA",N,Y," LEONARDO PEREZ,369 NORTHUP STREET ,CRANSTON, RI 02905 USA",None, , ,None, GENERAL FREIGHT TRUCKING LONG DISTANCE ,"484121 General Freight Trucking, Long-Distance, Truckload ","ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
10,LP Building Solutions,68327,321219, ,"1610 WEST END AVE SUITE 200NASHVILLE, TN  37203  USA",active,LP,Louisiana-Pacific Corporation,Foreign Corporation,000068327,05-22-1992,05-22-1992,"1610 WEST END AVE SUITE 200,NASHVILLE, TN 37203 USA",N,Y," PRENTICE-HALL CORP SYSTEM,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","SECRETARYNICOLE DANIEL 1610 WEST END AVE SUITE 200 NASHVILLE, TN 37203 USACEOBRADLEY W SOUTHERN 1610 WEST END AVE SUITE 200 NASHVILLE, TN 37203 USACFOALAN HAUGHIE 1610 WEST END AVE SUITE 200 NASHVILLE, TN 37203 USADIRECTORSTEPHEN MACADAM 1610 WEST END AVE, SUITE 200 NASHVILLE, TN 37203 USADIRECTORTRACY EMBREE 1610 WEST END AVE, SUITE200 NASHVILLE, TN 37203 USADIRECTORJOSE BAYARDO 1610 WEST END AVE SUITE 200 NASHVILLE, TN 37203 USADIRECTORLIZANNE GOTTUNG 1610 WEST END AVE, SUIE 200 NASHVILLE, TN 37203 USADIRECTORF. NICHOLAS GRASBERGER III 1610 WEST END AVE, SUITE 200 NASHVILLE, TN 37203 USADIRECTOROZEY HORTON JR. 1610 WEST END AVE, SUITE 200 NASHVILLE, TN 37203 USADIRECTORDUSTAN MCCOY 1610 WEST END AVE, SUITE 200 NASHVILLE, TN 37203 USADIRECTORWILLIAM B SOUTHERN SUITE 200 1610 WEST END AVE NASHVILLE, TN 37203 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWP $ 1.0000200,00087,934,689PWP $ 1.000015,0000", PRODUCTION AND SALE OF BUILDING MATERIALS. ,321219 Reconstituted Wood Product Manufacturing ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
11,"LP Coaching, LLC",1772536, , ,"43 ORCHARD AVE SOUTH KINGSTOWN, RI  02879  USA",active,LP,"LP Coaching, LLC",Domestic Limited Liability Company,001772536,04-19-2024,04-19-2024,"43 ORCHARD AVE ,SOUTH KINGSTOWN, RI 02879 USA",N,Y," LAUREN PERDUE,43 ORCHARD AVENUE ,SOUTH KINGSTOWN, RI 02879 USA",None, , ,None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
12,"LP DEVELOPMENT, LLC",1008463,531311, ,"231 ELM STREET WARWICK, RI  02888  USA",active,LP,"LP DEVELOPMENT, LLC",Domestic Limited Liability Company,001008463,11-18-2014,11-18-2014,"231 ELM STREET ,WARWICK, RI 02888 USA",N,Y," KAREN G. DELPONTE, ESQ.,301 PROMENADE STREET ,PROVIDENCE, RI 02908 USA",None, , ,None, REAL ESTATE OWNERSHIP AND MANAGEMENT ,531311 Residential Property Managers ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
13,"LP Home Solutions, Inc",793089,531390, ,"101 CONVENTION CENTER DRIVE, SUITE 700 LAS VEGAS, NV  89109  USA",active,LP,"LP Home Solutions, Inc",Foreign Corporation,000793089,09-12-2012,09-12-2012,"101 CONVENTION CENTER DRIVE, SUITE 700 ,LAS VEGAS, NV 89109 USA",N,Y," M. JOHN MATHIEU,22 ROSEMARY LANE ,GREENVILLE, RI 02828 USA","PRESIDENTM. JOHN MATHIEU 22 ROSEMARY LANE GREENVILLE, RI 02828 USADIRECTORBETTY L MATHIEU 22 ROSEMARY LANE GREENVILLE, RI 02828 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.001075,0000", REAL ESTATE INVESTMENT ,531390 Other Activities Related to Real Estate ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
14,"LP Ice House, LLC",1725468,531110,Revocation Notice,"300 INDUSTRIAL WAY TIVERTON, RI  02878  USA",active,LP,"LP Ice House, LLC",Domestic Limited Liability Company,001725468,06-14-2021,06-14-2021,"300 INDUSTRIAL WAY ,TIVERTON, RI 02878 USA",N,Y," CHRISTOPHER J. FRAGOMENI, ESQ.,564 SOUTH WATER STREET ,PROVIDENCE, RI 02903 USA",None, , ,None," TO OWN, OPERATE, LEASE, RENT, SELL AND MANAGE REAL ESTATE. ",531110 Lessors of Residential Buildings and Dwellings ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
15,"LP Innovations, Inc.",157452,561600, ,"111 SPEEN ST., SUITE 550 FRAMINGHAM, MA  01701  USA",active,LP,"DTiQ Services, Inc.",Foreign Corporation,000157452,07-18-2006,07-18-2006,"111 SPEEN ST., SUITE 550 ,FRAMINGHAM, MA 01701 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA","PRESIDENTJOHN FICE 111 SPEEN ST., SUITE 550 FRAMINGHAM, MA 01701 USATREASURERJOHN FICE 111 SPEEN ST., SUITE 550 FRAMINGHAM, MA 01701 USASECRETARYELIZABETH MARX WEXELBLATT 111 SPEEN ST., SUITE 550 FRAMINGHAM, MA 01701 USACOOJOHN FICE 111 SPEEN ST., SUITE 550 FRAMINGHAM, MA 01701 USADIRECTORJOHN FICE 111 SPEEN ST., SUITE 550 FRAMINGHAM, MA 01701 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.0010600400, OUTSOURCED LOSS PREVENTION SERVICES TITLE: 7-1.2-1405 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
16,"LP Insurance Services, LLC",1677413,524210,Revoked Entity,"6680 PARKLAND BLVD SOLON, OH  44139  USA",active,LP,"LP Insurance Services, LLC",Foreign Limited Liability Company,001677413,09-22-2017,09-22-2017,"6680 PARKLAND BLVD ,SOLON, OH 44139 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA",None,"MANAGERDENNIS SWIT 6680 PARKLAND BLVD SOLON, OH 44139 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERDENNIS SWIT 6680 PARKLAND BLVD SOLON, OH 44139 USA",None, OUTSOURCE INSURANCE TRACKING AGENCY ,524210 Insurance Agencies and Brokerages ,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
17,LP LANDSCAPING LLC,1049004,561730, ,"86 WEST MAIN ROAD MIDDLETOWN, RI  02842  USA",active,LP,LP LANDSCAPING LLC,Domestic Limited Liability Company,001049004,01-21-2015,01-21-2015,"86 WEST MAIN ROAD ,MIDDLETOWN, RI 02842 USA",N,Y," TAXPLUS LLC,861 RESERVOIR AVENUE, SUITE 2 ,CRANSTON, RI 02910 USA",None,"MANAGERLUIS A PANIAGUA 86 WEST MAIN RD MIDDLETOWN, RI 02842 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERLUIS A PANIAGUA 86 WEST MAIN RD MIDDLETOWN, RI 02842 USA",None, LANDSCAPING ,561730 Landscaping Services,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
18,"LP SERVICES, LLC",798630,531110, ,"84 WOODSONG DRIVE NORTH SCITUATE, RI  02857  USA",active,LP,"LP SERVICES, LLC",Domestic Limited Liability Company,000798630,04-29-2013,04-29-2013,"84 WOODSONG DRIVE ,NORTH SCITUATE, RI 02857 USA",N,Y," LARRY PIERCE,84 WOODSONG DRIVE ,NORTH SCITUATE, RI 02857 USA",None, , ,None, REAL ESTATE RENTAL AND LEASING ,531110 Lessors of Residential Buildings and Dwellings ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
19,"LPB ENTERPRISES, INC.",1666023,722513, ,"780 VICTORY HIGHWAY UNIT 10WEST GREENWICH, RI  02817  USA",active,LP,"LPB ENTERPRISES, INC.",Domestic Profit Corporation,001666023,08-18-2016,08-18-2016,"780 VICTORY HIGHWAY UNIT 10,WEST GREENWICH, RI 02817 USA",N,Y," LARRY BUONFIGLIO,780 VICTORY HIGHWAY, UNIT 10 ,WEST GREENWICH, RI 02817 USA","PRESIDENTLARRY BUONFIGLIO 780 VICTORY HIGHWAY, UNIT 10 WEST GREENWICH, RI 02817 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 1.0000100100, FOOD SERVICE-RESTAURANT Title: 7-1.2-1701,722513 Limited-Service Restaurants ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
20,LPC Construction LLC,1693715,238140, ,"PO BOX 337 WOONSOCKET, RI  02895  USA",active,LP,LPC Construction LLC,Domestic Limited Liability Company,001693715,03-08-2019,03-08-2019,"PO BOX 337 ,WOONSOCKET, RI 02895 USA",N,Y," LESZEK PRZYBYLKO,52 ALPINE WAY P.O. BOX 852,SLATERSVILLE, RI 02876 USA",None, , ,None, GENERAL CONTRACTOR ,238140 Masonry Contractors ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
21,LPG Developers LLC,1736944,531390,Revocation Notice,"125 TARA LANE WOONSOCKET, RI  02895  USA",active,LP,LPG Developers LLC,Domestic Limited Liability Company,001736944,03-03-2022,03-03-2022,"125 TARA LANE ,WOONSOCKET, RI 02895 USA",N,Y," HOWARD S. PORTNEY,250 EDDIE DOWLING HWY. ,NORTH SMITHFIELD, RI 02896 USA",None, , ,None, REAL ESTATE DEVELOPMENT ,531390 Other Activities Related to Real Estate ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
22,LPG LLC.,1661684,531190,Revocation Notice,"PO BOX 2490 PROVIDENCE, RI  02906  USA",active,LP,LPG LLC.,Domestic Limited Liability Company,001661684,03-25-2016,03-25-2016,"PO BOX 2490 ,PROVIDENCE, RI 02906 USA",N,Y," JUSTIN HETHERINGTON,380 BROADWAY ,PROVIDENCE, RI 02909 USA",None, , ,None," BUY, SELL, HOLD, LEASE, AND MANAGE REAL ESTATE ",531190 Lessors of Other Real Estate Property ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
