,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
46,Corporate Express Business Interiors,000111939, ,Revoked Entity,"500 STAPLES DRIVE FRAMINGHAM, MA  01702-4478  USA",inactive,Corp
47,"CORPORATE EXPRESS DELIVERY LEASING - NEW ENGLAND,INC.",000088089, ,Revoked Entity,"800 MAIN STREET TROY, NY  12180-  USA",inactive,Corp
48,"CORPORATE EXPRESS DELIVERY SYSTEMS - NEW ENGLAND,INC.",000088090, ,Revoked Entity,"500 COMMANDER SHEA BLVD. QUINCY, MA  02171-  USA",inactive,Corp
49,"Corporate Express Document & Print Management, Inc.",000007737, ,Revoked Entity,"500 STAPLES DRIVE FRAMINGHAM, MA  01702  USA",inactive,Corp
50,Corporate Express Imaging & Computer Graphic Supplies,000111939, ,Revoked Entity,"500 STAPLES DRIVE FRAMINGHAM, MA  01702-4478  USA",inactive,Corp
51,"Corporate Express Office Products, Inc.",000111939, ,Revoked Entity,"500 STAPLES DRIVE FRAMINGHAM, MA  01702-4478  USA",inactive,Corp
52,"Corporate Express Promotional Marketing, Inc.",000087867, ,Revoked Entity,"500 STAPLES DRIVE FRAMINGHAM, MA  01702  USA",inactive,Corp
53,Corporate Facility Consulting & Management LLC,000796551, ,Revoked Entity,"100 GARDEN CITY PLAZA 415 GARDEN CITY, NY  11530  USA",inactive,Corp
54,"CORPORATE FILING SOLUTIONS, LLC",000505957,541199,Revoked Entity,"82 WENDELL AVENUE, SUITE 100 PITTSFIELD, MA  01201  USA",inactive,Corp
55,"Corporate Finance Advisors, Inc.",000092534, ,Revoked Entity,"99 LORIMER AVENUE PROVIDENCE, RI  02906  USA",inactive,Corp
56,"CORPORATE FITNESS WORKS, INC.",000312975, ,Withdrawn,"18558 OFFICE PARK DRIVE MONTGOMERY VILLAGE, MD  20886  USA",inactive,Corp
57,"Corporate Fleet Leasing, LLC",000458131, ,Revoked Entity,"40 LAFAYETTE STREET YARMOUTH, ME  04021  USA",inactive,Corp
58,Corporate H.R. Solutions,000506028, ,Name Reservation," ,     ",inactive,Corp
59,"Corporate Health Group, LLC",000126038, ,Cancelled,"277 BOULDER RIDGE DRIVE HENDERSONVILLE, NC  28792  USA",inactive,Corp
60,"Corporate Housing Options, Inc.",000115842, ,Revoked Entity," ,     USA",inactive,Corp
61,"CORPORATE HR SOLUTIONS, LLC",000509869, ,Dissolved,"43 BROAD STREET, 2ND FLOOR WESTERLY, RI  02891  USA",inactive,Corp
62,Corporate Human Resource Options (CHRO),001701475, ,Name Reservation," ,     ",inactive,Corp
63,"CORPORATE IMAGE INTERIORS, INC.",000048156, ,Revoked Entity,"51 EAST SHORE DR EXETER, RI  02822  USA",inactive,Corp
64,"Corporate Image Productions, Inc.",000043610, ,Revoked Entity," ,     USA",inactive,Corp
65,"Corporate Information Technologies, Inc.",000509949,81,Withdrawn,"14 BRICK WALK LANE FARMINGTON, CT  06032  USA",inactive,Corp
66,"CORPORATE INSURERS SERVICE, INC.",000077467, ,Revoked Entity," ,     USA",inactive,Corp
67,CORPORATE LIFE INSURANCE COMPANY,000048503, ,Revoked Authority," ,     USA",inactive,Corp
68,"Corporate Limousine Services, Inc.",000046793, ,Revoked Entity," ,     USA",inactive,Corp
69,"Corporate Link Realty, Inc.",000025447, ,Withdrawn,"16260 NORTH 71ST STREET SCOTTSDALE, AZ  85254-  USA",inactive,Corp
70,"Corporate M-S, Ltd.",000010882, ,Revoked Entity," ,     USA",inactive,Corp
71,"Corporate Marquee Advertising, Inc.",000123305, ,Revoked Entity,"259 WAYLAND AVE. PROVIDENCE, RI  02906-  USA",inactive,Corp
72,Corporate Money LLC,000326176, ,Revoked Entity," ,     ",inactive,Corp
73,"CORPORATE NETWORK BROKERAGE SERVICES, INC.",000062694, ,Withdrawn,"7200 W 132ND STREET, SUITE 240 OVERLAND PARK, KS  66213-  USA",inactive,Corp
74,"CORPORATE ONE AUTO SALES, L.L.C.",000129552, ,Revoked Entity,"1769 CRANSTON STREET CRANSTON, RI  02920-  USA",inactive,Corp
75,"CORPORATE PERFORMANCE PARTNERS, INC.",000151045, ,Dissolved,"346 MIDDLE ROAD EAST GREENWICH, RI  02818  USA",inactive,Corp
76,"CORPORATE PERSONNEL GROUP, INC.",000056652, ,Revoked Entity," ,     USA",inactive,Corp
77,"Corporate Place, Inc.",000065091,53,Dissolved,"PO BOX 3328 NARRAGANSETT, RI  02882  USA",inactive,Corp
78,"Corporate Properties, Ltd.",000004866, ,Revoked Entity,"ONE PARK ROW, SUITE 300 PROVIDENCE, RI  02903-  USA",inactive,Corp
79,"Corporate Properties, Ltd.",000018077, ,Merged into an entity of record," ,     USA",inactive,Corp
80,"CORPORATE RECEIVABLES, INC.",000117325, ,Revoked Entity,"3003 NORTH CENTRAL AVENUE, SUITE 320 PHOENIX, AZ  85012  USA",inactive,Corp
81,"Corporate Recycling Options, Ltd.",000064528, ,Revoked Entity," ,     USA",inactive,Corp
82,Corporate Resource Services - CRS,000794174, ,Revoked Entity,"160 BROADWAY 13TH FLOORNEW YORK, NY  10038  USA",inactive,Corp
83,"Corporate Resource Services, Insurance Overload Staffing",000551010, ,Revoked Entity,"160 BROADWAY 13TH FLOORNEW YORK, NY  10038  USA",inactive,Corp
84,Corporate Search & Staffing,000120025, ,Revoked Entity,"ONE STATE STREET, SUITE 401 PROVIDENCE, RI  02908  USA",inactive,Corp
85,"Corporate Search Group, Inc.",000120025, ,Revoked Entity,"ONE STATE STREET, SUITE 401 PROVIDENCE, RI  02908  USA",inactive,Corp
86,"Corporate Securities Group, Inc.",000082944, ,Revoked Entity,"980 N FEDERAL HWY SUITE 210 BOCA RATON, FL  33432  USA",inactive,Corp
87,"Corporate Security Controls and Services, Inc.",000124447, ,Revoked Entity,"41 HAYES ST. CRANSTON, RI  02920-  USA",inactive,Corp
88,"Corporate Security Specialists, Inc.",000046389, ,Revoked Entity," ,     USA",inactive,Corp
89,"CORPORATE SECURITY, INC.",000037371, ,Revoked Entity," ,     USA",inactive,Corp
90,CORPORATE SERVANTS,000074969, ,Revoked Entity,"860 EDDY ST.  PO BOX 73180 PROVIDENCE, RI  02907  USA",inactive,Corp
91,"Corporate Services Telcom, Inc.",000089424, ,Revoked Authority," ,     USA",inactive,Corp
92,CORPORATE SOLUTIONS LIFE REINSURANCE COMPANY,001702912, ,Name Reservation," ,     ",inactive,Corp
93,Corporate Staffing,000120025, ,Revoked Entity,"ONE STATE STREET, SUITE 401 PROVIDENCE, RI  02908  USA",inactive,Corp
94,"CORPORATE STAFFING LOGISTICS, INC.",001666442,541214,Revoked Entity,"9330 LYNDON B. JOHNSON FREEWAY SUITE 900DALLAS, TX  75243  USA",inactive,Corp
95,"Corporate Strategy Services, LLC",000994371, ,Revoked Entity,"500 LAKE COOK ROAD, SUITE 350 DEERFIELD, IL  60015  USA",inactive,Corp
96,CORPORATE SUPPLIERS INC,000109247, ,Revoked Entity,"310 BOURNE AVE BLDG. 50 EAST PROVIDENCE, RI  02916-  USA",inactive,Corp
97,"Corporate Synergies Group, Inc.",000151954, ,Withdrawn,"200 EAST PARK DRIVE, SUITE 600 MOUNT LAUREL, NJ  08054  USA",inactive,Corp
98,"Corporate Systems International, Inc.",000035457, ,Revoked Entity," ,     USA",inactive,Corp
99,CORPORATE TECHNOLOGY REALTY LLC.,000125299, ,Revoked Entity,"43, 140 POINT JUDITH ROAD NARRAGANSETT, RI  02882-  USA",inactive,Corp
100,"Corporate Telemanagement Group, Inc.",000074947, ,Revoked Authority," ,     USA",inactive,Corp
101,"Corporate Telephone Services, Inc.",000424945, ,Revoked Entity,"184 WEST SECOND STREET BOSTON, MA  02127  USA",inactive,Corp
102,Corporate Temps,000120025, ,Revoked Entity,"ONE STATE STREET, SUITE 401 PROVIDENCE, RI  02908  USA",inactive,Corp
103,"CORPORATE TRAINING CONSULTANTS, INC.",000161422, ,Withdrawn,"8000 REGENCY PARKWAY, SUITE 485 CARY, NC  27518-8506  USA",inactive,Corp
104,Corporate Travel Management North America Inc.,001669643,561510,Withdrawn,"16420 PARK TEN PLACE DRIVE SUITE 455HOUSTON, TX  77084  USA",inactive,Corp
105,"Corporate Valuation Services, Inc.",001684152,531320,Revoked Entity,"1 BLACKBURN CENTER, SUTIE 1 GLOUCESTER, MA  01930  USA",inactive,Corp
106,"CORPORATE VENDING SERVICES, INC.",000061598, ,Revoked Entity,"70 NEW RIVER ROAD MANVILLE, RI  02838  USA",inactive,Corp
107,"Corporate Vision, Inc.",001676280,236118,Withdrawn,"8318 DURELEE LANE STE.205 DOUGLASVILLE, GA  30134  USA",inactive,Corp
108,"CORPORATE WORKS of Rhode Island, Inc.",000105460, ,Revoked Entity,"118 WAKEFIELD STREET WEST WARWICK, RI  02893-  USA",inactive,Corp
109,"Corporate, Cash & Prize Directives (CCPD)",000551414, ,Revoked Entity,"378 BROADWAY PROVIDENCE, RI  02929  USA",inactive,Corp
110,Corporation for Advancement of Medical Technologies,000543404, ,Revoked Entity,"222 JEFFERSON BLVD. SUITE 200WARWICK, RI  02888  USA",inactive,Corp
111,"Corporation For Residential Alternatives, Inc.",000047405, ,Revoked Entity," ,     USA",inactive,Corp
112,Corporation of St. Mathews Parish,000030864, ,Revoked Entity,"87 NARRAGANSETT AVENUE,  PO BOX 317 P.O. BOX 317JAMESTOWN, RI  02835  USA",inactive,Corp
113,CORPORATION OF THE PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,000110373,813110,Withdrawn,"222 JEFFERSON BOULEVARD, SUITE 200 WARWICK, RI  02888  USA",inactive,Corp
114,"Corporation to RB Tech, Inc.",000485913, ,Revoked Entity,"334 EAST AVENUE PAWTUCKET, RI  02860  USA",inactive,Corp
115,Corps Team Services LLC,001746275,561320,Cancelled,"1205 JOHNSON FERRY ROAD SUITE 136, #507MARIETTA, GA  30068  USA",inactive,Corp
116,Corpus Christi Carmelite Sisters,000030867, ,Revoked Entity,"40 WESTMINSTER STREET SUITE 1100PROVIDENCE, RI  02903  USA",inactive,Corp
117,"Corpus Design, Inc.",000123707, ,Revoked Entity,"51 TABER STREET WEST KINGSTON, RI  02892-  USA",inactive,Corp
118,"The Corporate Cafe, Inc.",000072139,722521,Dissolved,"40 WESTMINSTER STREET C/O THE CORPORATE CAFEPROVIDENCE, RI  02903  USA",inactive,Corp
119,"The Corporate Finance Group, Inc.",000125790, ,Revoked Entity," ,     USA",inactive,Corp
120,"The Corporate Gift Cards, Inc.",000275007, ,Revoked Entity,"6946 POST ROAD NORTH KINGSTOWN, RI  02852  USA",inactive,Corp
121,"The Corporate Marketplace, Inc.",000149813,42,Revoked Entity,"818 MIDDLE STREET EAST GREENWICH, RI  02818  USA",inactive,Corp
122,"The Corporate Marketplace, Inc. **MERGED INTO AN ENTITY NOT QUALIFIED IN RI: THE CORPORATE MARKETPLACE, INC. (DE)**",000109543, ,Merged into an entity of record,"1130 TEN ROD ROAD, UNIT F206 NORTH KINGSTOWN, RI  02852-  USA",inactive,Corp
